OverallQual,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,GarageArea,ExterQual,FullBath,BsmtQual,YearBuilt,YearRemodAdd,TotRmsAbvGrd,Fireplaces,2ndFlrSF,KitchenQual,BsmtFinSF1,LotArea,CentralAir,MasVnrArea,Foundation,BedroomAbvGr,MSZoning,BsmtFullBath,OverallCond,WoodDeckSF,GarageType,HalfBath,SaleType,LotShape,Neighborhood,MSSubClass,LandSlope,BsmtExposure,SaleCondition,GarageYrBlt,LandContour,Fence,OpenPorchSF,LotFrontage,BsmtUnfSF,SalePrice
8,2,1234,1234,1234,484,1,2,3,2007,2007,7,0,0,1,0,11049,1,0.0,1,3,1,0,5,0,1,0,1,1,1,20,1,4,1,2007.0,1,2,30,85.0,1234,179900
5,2,1700,1700,1398,447,2,1,2,1959,1959,6,1,0,1,1018,10552,1,0.0,2,4,1,0,5,0,1,1,1,2,12,20,1,1,1,1959.0,1,2,38,70.0,380,165500
9,2,1561,1561,1561,556,3,2,3,2005,2005,6,1,0,3,1153,7313,1,246.0,1,2,1,1,5,203,1,0,1,1,11,120,1,1,1,2005.0,1,2,47,60.0,408,277500
8,3,2452,1132,1117,691,1,3,3,2004,2005,9,1,1320,1,0,13418,1,132.0,1,4,1,0,5,113,3,1,1,1,11,60,1,4,1,2004.0,1,2,32,108.0,1117,309000
5,2,1097,1097,1097,672,2,1,1,1994,1995,6,0,0,2,0,10859,1,0.0,1,3,1,0,5,392,1,1,1,1,1,20,1,1,1,1995.0,1,2,64,112.0,1097,145000
5,2,1297,1297,1297,498,2,1,2,1954,1990,5,1,0,2,1213,8532,1,650.0,2,3,1,0,6,0,1,0,1,1,12,20,1,1,1,1954.0,1,2,0,74.0,84,153000
5,1,1057,1057,1057,246,2,1,2,1953,2007,5,0,0,1,731,7922,1,0.0,2,3,1,1,7,0,2,0,1,1,12,20,1,1,2,1953.0,1,2,52,68.0,326,109000
4,0,1152,1152,0,0,2,2,2,1955,1955,6,0,0,4,0,6040,2,0.0,1,2,1,0,5,0,2,0,1,1,16,90,1,1,4,1953.0,1,2,0,65.0,0,82000
6,2,1324,1324,1088,440,2,2,2,1965,1965,6,1,0,2,643,8658,1,101.0,2,3,1,0,5,0,1,0,1,1,12,20,1,1,2,1965.0,1,3,138,84.0,445,160000
5,1,1328,1328,1350,308,2,1,2,1959,1959,5,2,0,2,967,16905,1,0.0,2,2,1,0,6,0,1,1,1,1,17,20,1,2,1,1959.0,1,3,104,115.0,383,170000
5,2,884,884,840,504,2,1,1,1983,1983,5,0,0,1,747,9180,1,0.0,2,2,1,1,7,240,1,0,1,2,13,85,1,4,1,1983.0,1,2,0,115.0,0,144000
5,1,938,938,938,308,2,1,1,1975,1980,5,0,0,2,280,9200,1,0.0,2,3,1,1,6,145,2,0,1,2,1,20,1,4,1,1977.0,1,2,0,115.0,167,130250
5,1,1150,1150,1150,300,2,1,2,1959,1959,6,0,0,2,179,7945,1,0.0,2,3,1,1,6,0,1,0,1,1,12,20,1,1,1,1959.0,1,2,0,70.0,465,141000
9,2,1752,1752,1752,576,3,2,3,2005,2005,6,1,0,3,456,7658,1,412.0,1,2,1,1,5,196,1,0,1,1,11,120,1,1,1,2005.0,1,2,82,61.0,1296,319900
7,2,2149,1518,1434,670,1,1,3,2003,2003,6,1,631,1,1351,12822,1,0.0,1,1,1,1,5,168,1,1,1,2,5,50,1,1,2,2003.0,1,2,43,48.0,83,239686
8,3,1656,1656,1656,826,1,2,1,2006,2006,7,0,0,1,24,11096,1,0.0,1,3,4,0,5,0,1,0,1,1,6,20,1,4,1,2006.0,1,2,146,84.0,1632,249700
4,0,1452,736,736,0,2,2,2,1920,2008,8,0,716,2,0,4456,1,0.0,3,2,2,0,5,0,1,0,2,1,8,190,1,1,3,2006.0,1,2,0,33.0,736,113000
5,1,955,955,955,386,2,1,2,1966,1966,6,0,0,2,763,7742,1,0.0,2,3,1,1,7,0,1,0,1,1,10,20,1,1,1,1966.0,1,2,0,66.0,192,127000
6,2,1470,794,794,388,2,2,1,1997,1997,6,0,676,2,182,13869,1,0.0,1,3,1,0,6,0,1,0,1,3,18,60,1,4,1,1997.0,1,2,75,66.0,612,177000
6,2,1176,816,816,528,2,1,2,1934,1950,6,1,0,2,0,6240,1,0.0,1,3,2,0,6,112,2,0,1,1,9,50,1,1,1,1985.0,1,2,0,52.0,816,114500
5,2,816,816,816,516,4,1,1,1963,1963,5,0,0,2,104,8472,2,0.0,2,2,2,1,5,106,4,0,1,3,14,90,2,2,1,1963.0,2,2,0,110.0,0,110000
9,3,1842,1842,1842,894,1,0,3,1981,1987,5,1,0,1,1810,50271,1,0.0,2,0,1,2,5,857,1,1,1,2,2,20,1,2,1,1981.0,3,2,72,68.0,32,385000
5,2,1360,1360,384,572,2,1,2,1955,1955,6,1,0,2,384,7134,1,0.0,2,3,1,0,5,0,2,0,1,1,12,80,2,1,1,1962.0,2,2,50,60.0,0,130000
6,2,1425,1425,1425,576,2,2,2,1964,1964,7,1,0,2,490,10175,1,272.0,2,3,1,0,5,0,1,0,1,2,12,20,1,1,1,1964.0,1,2,0,100.0,935,180500
8,2,1739,983,970,480,1,2,1,1999,2000,7,0,756,1,649,2645,1,456.0,1,3,4,1,5,115,1,1,1,1,6,160,1,1,2,1999.0,1,2,0,24.0,321,172500
7,2,1720,860,860,565,1,2,1,2004,2004,7,0,860,1,0,11645,1,0.0,1,3,1,0,5,0,1,1,1,2,1,60,1,1,1,2004.0,1,2,70,89.0,860,196500
10,3,2945,1426,1410,641,3,3,3,2006,2006,10,1,1519,1,0,13682,1,1031.0,1,3,1,0,5,192,3,1,2,3,19,60,1,2,3,2006.0,4,2,0,66.0,1410,438780
5,1,780,780,780,352,2,1,2,1972,1972,4,0,0,2,632,7200,1,0.0,2,2,1,0,7,196,2,0,1,1,1,20,1,4,1,1973.0,2,2,0,60.0,148,124900
6,2,1158,1158,1158,576,2,1,1,2004,2004,5,0,0,1,941,13072,1,0.0,1,3,1,1,5,0,2,1,2,1,13,20,1,1,3,2006.0,1,2,50,63.0,217,158000
5,1,1111,581,530,288,2,1,2,1920,1996,6,0,530,4,0,7200,2,0.0,3,3,2,0,7,0,2,0,1,1,14,75,1,1,1,1935.0,1,2,0,60.0,530,101000
8,2,1370,1370,1370,484,1,2,1,2006,2006,6,1,0,1,24,6442,1,178.0,1,2,1,0,5,120,1,0,1,2,11,120,1,3,1,2006.0,1,2,49,44.0,1346,202500
7,2,1710,902,576,480,2,2,2,1921,1950,9,0,808,2,0,10300,1,0.0,3,3,2,0,6,12,2,0,1,2,8,70,1,1,1,1990.0,2,4,11,50.0,576,140000
7,2,2034,1057,1057,645,2,2,1,1997,1998,8,0,977,1,739,9375,1,573.0,1,3,1,1,5,576,1,1,1,1,1,60,1,1,1,1998.0,1,4,36,50.0,318,219500
8,3,2473,1143,1143,852,1,2,3,2004,2005,9,1,1330,1,0,9591,1,344.0,1,4,1,0,5,192,3,1,1,1,11,60,1,4,1,2004.0,1,4,151,76.0,1143,317000
7,2,2207,2207,1947,576,2,2,1,1970,1989,7,1,0,2,912,19900,1,287.0,2,3,1,1,5,301,1,0,1,1,12,20,1,2,1,1970.0,1,4,0,76.0,1035,180000
7,2,1479,1479,1453,558,1,2,1,2003,2003,7,0,0,1,1013,10665,1,167.0,1,3,1,1,5,144,1,0,1,2,1,20,1,4,1,2003.0,1,4,29,72.0,440,226000
4,1,747,747,747,220,2,1,2,1945,1950,4,0,0,2,0,4608,1,0.0,2,2,2,0,6,0,1,0,1,1,8,30,1,1,1,1945.0,1,4,0,47.0,747,80000
7,2,2287,1304,1304,667,1,2,2,1953,1953,7,1,983,2,603,15593,1,0.0,2,3,1,0,4,0,1,0,1,1,20,50,1,1,1,1953.0,1,4,21,81.0,701,225000
7,2,2223,2223,2223,516,2,2,1,1973,1973,8,2,0,2,1880,13651,1,1115.0,2,3,1,1,6,300,1,0,1,2,12,20,1,2,1,1973.0,1,4,0,95.0,343,244000
4,2,845,845,845,360,2,1,2,1982,2006,4,0,0,2,565,7599,1,0.0,2,2,1,1,6,0,2,0,1,1,5,20,1,1,1,1987.0,1,4,0,69.0,280,129500
7,2,1718,885,832,427,2,2,1,1998,1998,7,1,833,2,0,10141,1,40.0,1,3,1,0,5,0,1,1,1,2,18,60,1,1,1,1998.0,1,4,94,74.0,832,185000
5,2,1086,1086,1086,490,2,1,2,1954,2003,6,0,0,2,320,10200,1,104.0,2,3,1,1,7,0,1,0,1,1,12,20,1,1,1,1989.0,1,3,0,85.0,404,144900
3,1,1605,840,840,379,1,2,4,1915,1950,8,0,765,2,0,5790,2,0.0,2,3,2,0,6,0,2,0,1,1,8,50,1,1,1,1915.0,1,3,0,60.0,840,107400
4,1,988,526,462,297,2,1,1,1973,1973,5,0,462,2,462,1596,1,0.0,2,2,2,1,5,120,3,0,1,1,15,180,1,2,1,1973.0,1,3,101,21.0,0,91000
4,1,952,952,952,283,2,1,2,1956,1956,4,0,0,2,228,8475,1,0.0,2,2,1,0,7,0,2,0,1,2,12,20,1,1,1,1956.0,1,3,0,21.0,724,135750
5,1,1285,1072,672,240,2,1,2,1948,2001,6,0,213,2,336,8635,1,0.0,2,2,2,1,5,0,2,0,1,1,9,50,1,1,1,1948.0,1,2,0,50.0,295,127000
4,0,1768,1768,1768,0,2,2,2,1968,1968,8,0,0,2,0,10778,2,0.0,2,4,1,0,5,0,2,0,1,1,10,90,1,1,1,1948.0,1,2,0,72.0,1768,136500
5,2,1230,682,440,440,2,1,2,1910,1981,5,0,548,2,0,10440,1,0.0,1,2,2,0,6,74,2,1,1,1,8,50,1,1,1,1966.0,1,2,0,60.0,440,110000
6,1,2142,1182,896,509,2,2,1,1968,1968,8,1,960,1,448,13000,1,576.0,2,4,1,0,6,0,1,1,1,1,12,60,1,1,1,1968.0,1,2,72,100.0,448,193500
6,2,1337,1337,1237,405,2,2,3,1998,1998,5,0,0,2,1201,4500,1,443.0,1,2,2,1,5,0,1,0,1,1,5,120,1,1,1,1998.0,1,2,199,32.0,36,153500
8,3,1563,1563,1563,758,2,2,1,2007,2007,6,1,0,1,33,10206,1,468.0,1,3,1,0,5,144,1,0,1,1,6,20,1,1,1,2007.0,1,2,99,78.0,1530,245000
5,2,1065,1065,1065,461,2,1,2,1960,1960,6,0,0,2,0,8892,1,66.0,2,3,1,0,5,74,2,1,3,2,12,20,1,1,1,1974.0,1,2,0,80.0,1065,126500
7,2,1474,804,384,400,2,2,1,1995,1996,7,1,670,2,0,8530,1,22.0,1,3,1,0,5,120,3,1,1,2,18,80,1,1,1,1995.0,1,2,72,80.0,384,168500
8,2,2417,1301,1288,462,1,2,1,1991,1992,9,1,1116,1,0,16059,1,284.0,2,4,1,0,5,127,1,1,1,1,4,60,1,1,1,1991.0,1,2,82,121.0,1288,260000
6,2,1560,684,684,400,1,2,1,2005,2005,6,1,876,1,0,11911,1,0.0,1,3,1,0,5,100,3,1,1,3,18,60,1,4,1,2005.0,1,2,38,122.0,684,174000
6,2,1224,612,612,528,1,2,1,2009,2009,4,0,612,1,0,3951,1,76.0,1,2,4,0,5,0,2,1,2,1,6,160,1,4,3,2009.0,1,2,234,40.0,612,164500
3,0,1526,1013,1013,0,4,1,2,1915,1982,6,0,0,4,0,8470,2,0.0,2,2,3,0,2,0,2,0,4,2,14,50,1,1,2,2009.0,1,2,0,105.0,1013,85000
4,0,990,990,990,0,2,1,1,1994,1995,5,0,0,2,588,8070,1,0.0,1,3,1,1,5,0,2,0,1,1,1,20,1,1,1,2009.0,1,2,0,60.0,402,123600
4,2,1040,1040,0,420,2,1,1,1950,1950,4,0,0,2,0,7200,1,0.0,5,2,1,0,5,0,2,0,1,1,12,20,1,1,1,1950.0,1,2,29,60.0,0,109900
5,2,1235,1235,1235,480,2,1,2,1961,1961,6,0,0,2,600,8500,1,203.0,2,2,1,0,3,0,1,0,1,1,12,20,1,1,2,1961.0,1,3,0,85.0,635,98600
5,2,964,964,876,432,2,1,1,1921,2006,5,0,0,2,713,13360,1,0.0,3,2,1,1,7,0,2,0,1,2,3,30,1,1,1,1921.0,4,3,0,80.0,163,163500
6,2,2291,1260,1214,506,2,2,2,1910,1998,9,1,1031,2,1046,7200,2,0.0,3,4,3,0,6,0,2,0,1,1,8,190,1,3,1,1900.0,1,3,0,60.0,168,133900
6,2,1786,905,824,684,2,2,1,1997,1997,7,0,881,1,648,9337,1,0.0,1,3,1,1,5,0,1,1,1,2,1,60,1,1,1,1997.0,1,3,162,69.0,176,204750
6,2,1470,680,680,420,3,2,1,1993,1993,6,1,790,2,310,9765,1,68.0,1,3,1,0,8,232,3,1,1,3,18,60,1,1,1,1993.0,1,3,63,69.0,370,185000
7,2,1588,1588,1588,472,1,2,1,1999,1999,6,0,0,1,1162,10264,1,183.0,1,3,1,0,5,158,1,0,1,2,1,20,1,4,1,1999.0,1,3,29,78.0,426,214000
4,1,960,960,960,432,2,1,2,1965,1965,6,0,0,2,520,10921,1,48.0,2,3,1,1,5,120,1,0,1,1,16,20,1,1,1,1965.0,4,3,0,73.0,440,94750
5,1,835,835,458,366,2,1,2,1920,1950,5,0,0,2,108,10625,2,0.0,3,2,1,0,5,0,5,0,3,1,16,30,1,1,2,1920.0,1,3,0,85.0,350,83000
4,0,1225,1225,950,0,2,1,2,1959,1959,6,0,0,2,569,9320,1,0.0,2,3,1,1,5,352,5,1,1,2,12,20,1,1,1,1920.0,1,3,0,77.0,381,128950
6,2,1610,1610,1610,480,2,2,2,1977,2001,6,2,0,1,1200,10603,1,28.0,1,3,1,1,7,168,1,0,1,2,7,20,1,3,1,1977.0,1,3,68,77.0,410,205000
6,2,1732,977,741,476,1,2,1,1985,1985,7,1,755,1,0,9206,1,336.0,2,3,1,0,5,192,1,1,1,1,13,60,1,1,1,1985.0,1,3,46,77.0,741,178000
5,2,1535,1535,0,410,2,2,1,1979,1979,8,0,0,2,0,7018,1,0.0,5,4,1,0,5,0,1,0,1,1,13,90,1,1,5,1979.0,2,3,0,64.0,0,118964
7,3,1226,1226,1226,740,2,2,1,2009,2009,6,0,0,1,0,10402,1,0.0,1,3,1,0,5,0,1,0,1,2,1,20,1,1,1,2009.0,1,3,36,94.0,1226,198900
7,1,1818,1226,1040,240,2,1,2,1931,1950,7,2,592,2,224,7758,1,600.0,1,4,2,0,4,0,2,1,1,1,14,50,1,1,1,1951.0,1,3,0,94.0,816,169500
8,2,1992,1053,1053,648,1,2,3,2003,2004,9,1,939,1,0,9375,1,768.0,1,3,4,0,5,140,1,1,1,1,6,60,1,1,1,2003.0,1,3,45,75.0,1053,250000
4,1,1047,1047,641,273,2,1,4,1885,1995,6,0,0,2,0,10800,1,0.0,3,2,2,0,7,0,2,0,1,1,8,30,1,1,1,1954.0,1,3,0,60.0,641,100000
5,1,789,789,789,250,2,1,2,1948,1950,5,0,0,2,104,6000,1,0.0,2,2,2,0,5,0,2,0,1,1,8,20,1,1,3,1948.0,1,3,0,50.0,516,115000
5,0,1517,997,793,0,2,2,2,1919,2005,7,0,520,4,0,8500,2,0.0,2,3,2,0,7,0,2,0,1,1,14,50,1,1,1,1948.0,1,3,0,85.0,793,115000
6,2,1844,1844,1844,546,2,2,1,1977,1977,7,1,0,2,705,11751,1,480.0,2,3,1,0,6,0,1,0,3,2,7,20,1,1,1,1977.0,1,2,122,105.0,1139,190000
6,1,1855,1216,994,325,2,2,2,1954,1972,7,0,639,2,444,9525,1,0.0,2,4,1,0,4,182,1,0,1,1,16,50,1,1,1,1954.0,1,2,0,75.0,550,136900
7,2,1430,774,384,400,2,2,1,2000,2000,7,1,656,2,250,7750,1,0.0,1,3,1,0,5,180,3,1,1,2,18,80,1,1,1,2000.0,1,2,0,75.0,134,180000
7,3,2696,1282,1264,792,1,2,3,2007,2007,10,1,1414,3,984,9965,1,220.0,1,4,1,1,5,120,3,1,2,1,1,60,1,4,3,2007.0,1,2,184,77.0,280,383970
6,2,2259,2259,1809,450,2,2,1,1953,1953,7,2,0,1,35,21000,1,184.0,2,3,1,1,5,166,5,0,3,1,3,20,1,3,2,1953.0,2,2,120,77.0,905,217000
6,1,2320,1436,1028,180,2,2,2,1945,2002,9,1,884,1,774,7259,1,0.0,2,3,1,1,8,224,2,1,1,2,3,70,2,1,1,1945.0,1,2,0,61.0,104,259500
6,2,1458,729,729,440,2,2,1,1999,1999,5,1,729,2,419,3230,1,1129.0,1,2,4,0,5,0,2,1,1,1,6,160,1,1,1,1999.0,1,2,32,34.0,310,176000
5,1,1092,1092,1092,288,2,1,2,1962,1962,6,1,0,2,170,11616,1,116.0,2,3,1,0,5,0,1,0,1,1,10,20,1,1,1,1962.0,1,2,20,34.0,252,139000
5,2,1125,1125,1125,430,2,1,1,2006,2007,5,0,0,2,0,8536,1,0.0,1,2,1,0,5,80,1,1,2,1,16,20,1,1,3,2007.0,1,2,64,74.0,1125,155000
7,3,3222,1699,1673,594,2,3,1,1990,1990,11,2,1523,1,1470,12376,1,0.0,1,5,1,1,5,367,1,0,1,1,13,60,1,3,1,1990.0,1,2,0,90.0,203,320000
6,2,1456,728,728,390,1,2,1,2005,2006,8,1,728,1,0,8461,1,0.0,1,3,1,0,5,0,1,1,2,1,1,60,1,1,3,2005.0,1,2,24,65.0,728,163990
6,2,988,988,938,540,2,1,2,1969,1969,4,2,0,2,938,21453,1,0.0,2,1,1,1,5,0,1,0,1,2,20,80,3,2,1,1969.0,3,2,130,65.0,0,180000
4,1,1123,772,732,264,2,1,2,1939,1950,4,0,351,2,0,6060,1,0.0,1,3,2,0,5,0,2,0,1,1,14,50,1,1,1,1979.0,1,2,0,50.0,732,100000
6,1,1080,1080,1080,288,2,1,2,1958,1958,5,0,0,2,570,9464,1,135.0,2,3,1,0,7,0,1,0,1,1,12,20,1,1,1,1958.0,1,2,0,75.0,510,136000
6,2,1199,1199,1199,530,1,2,1,1993,1993,5,0,0,1,300,7892,1,0.0,1,2,1,0,5,0,1,0,1,1,13,120,1,1,1,1993.0,1,2,63,55.0,899,153900
6,2,1586,1586,1362,435,2,2,1,1979,1998,7,1,0,2,0,17043,1,0.0,2,3,1,0,5,192,1,0,1,2,7,20,1,1,1,1979.0,1,2,0,48.0,1362,181000
6,0,754,520,520,0,2,1,2,1935,1982,5,0,0,2,490,6780,2,0.0,2,2,2,1,8,53,1,0,1,1,14,190,1,4,1,1979.0,1,2,0,60.0,30,84500
6,2,958,958,1078,440,2,2,1,1976,1976,5,1,0,2,120,4928,1,0.0,2,2,1,0,5,0,1,0,1,2,21,120,1,1,1,1977.0,1,2,205,60.0,958,128000
5,0,840,840,672,0,2,1,2,1930,1950,5,1,0,2,116,4388,1,0.0,3,3,2,0,7,0,1,0,1,2,8,45,1,1,1,1977.0,2,2,0,55.0,556,87000
6,2,1348,660,660,453,2,1,2,1966,1966,6,1,688,2,512,7590,1,266.0,2,3,1,0,5,188,1,1,1,1,12,60,1,1,1,1966.0,1,2,108,69.0,148,155000
5,2,1053,1053,1008,750,2,1,2,1958,1991,6,0,0,3,567,8973,1,85.0,2,3,1,0,7,0,6,1,1,1,12,20,1,1,2,1998.0,1,5,80,69.0,413,150000
7,2,2157,1216,924,487,2,2,2,1966,1966,8,2,941,1,445,14200,1,309.0,2,4,1,0,6,105,1,1,1,1,12,60,1,1,1,1966.0,1,4,66,88.0,479,226000
6,2,2054,1022,992,390,1,2,1,2000,2000,7,1,1032,1,695,12224,1,40.0,1,3,1,1,5,24,3,1,1,2,18,60,1,1,1,2000.0,1,4,48,88.0,297,244000
5,2,1327,1327,1063,624,2,1,2,1959,2002,7,0,0,1,405,7388,1,0.0,2,3,1,1,6,0,2,0,1,1,12,20,1,1,1,1974.0,1,4,0,75.0,658,150750
8,2,1296,1296,1267,471,1,2,3,2001,2002,6,0,0,1,1005,6853,1,136.0,1,2,1,1,5,192,1,0,1,2,17,20,1,1,1,2001.0,1,4,25,75.0,262,220000
5,2,1721,1721,1461,440,2,2,2,1968,1993,7,1,0,2,570,10335,1,0.0,2,3,1,0,6,0,1,1,1,2,10,20,1,1,1,1968.0,1,2,96,78.0,891,180000
7,2,1682,1682,1304,530,2,2,2,1970,1970,7,1,0,2,0,10400,1,288.0,1,3,1,0,6,98,1,0,1,1,7,20,1,1,1,1970.0,1,2,0,80.0,1304,174000
5,1,1214,1214,1214,318,2,2,2,1967,1967,5,1,0,2,695,10355,1,196.0,2,3,1,0,5,0,1,0,1,2,12,20,1,1,1,1967.0,1,2,111,80.0,519,143000
7,3,1959,1959,1907,766,2,3,2,1988,1989,9,0,0,2,0,11070,1,70.0,2,5,1,0,5,0,6,0,1,1,5,90,1,1,6,1989.0,1,2,0,82.0,1907,171000
8,3,1852,1004,1004,660,1,2,1,1999,2000,7,2,848,1,668,9066,1,320.0,1,3,1,0,5,224,1,1,1,2,1,60,1,3,1,1999.0,1,4,106,73.0,336,230000
6,2,1764,928,928,470,2,2,1,1997,1997,7,0,836,1,821,15426,1,0.0,1,3,1,1,5,276,1,1,1,2,1,60,1,1,1,1997.0,1,2,99,65.0,107,231500
