OverallQual,GarageCars,GrLivArea,FullBath,1stFlrSF,BsmtQual,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,ExterQual,2ndFlrSF,Fireplaces,TotRmsAbvGrd,KitchenQual,Foundation,BsmtFinType1,CentralAir,YearBuilt,GarageArea,HalfBath,BsmtFullBath,LotArea,BedroomAbvGr,Neighborhood,MSZoning,WoodDeckSF,MasVnrArea,OverallCond,LandSlope,LotFrontage,MSSubClass,BldgType,BsmtUnfSF,LotShape,GarageType,GarageFinish,RoofStyle,BsmtExposure,Id,Fence,SalePrice
5,1,1057,1,1057,2,2007,1057,731,2,0,0,5,1,2,1,1,1953,246,0,1,7922,3,12,1,0,0.0,7,1,68.0,20,1,326,1,2,2,1,1,39,2,109000
4,0,1152,2,1152,2,1955,0,0,2,0,0,6,4,1,1,2,1955,0,0,0,6040,2,16,1,0,0.0,5,1,65.0,90,3,0,1,2,2,1,1,40,2,82000
6,2,1324,2,1324,2,1965,1088,643,2,0,1,6,2,2,4,1,1965,440,0,0,8658,3,12,1,0,101.0,5,1,84.0,20,1,445,1,1,1,1,1,41,3,160000
5,1,1328,1,1328,2,1959,1350,967,2,0,2,5,2,2,5,1,1959,308,1,0,16905,2,17,1,0,0.0,6,1,115.0,20,1,383,1,1,1,1,2,42,3,170000
5,2,884,1,884,1,1983,840,747,2,0,0,5,1,2,2,1,1983,504,0,1,9180,2,13,1,240,0.0,7,1,115.0,85,1,0,2,1,1,1,4,43,2,144000
5,1,938,1,938,1,1980,938,280,2,0,0,5,2,2,6,1,1975,308,0,1,9200,3,1,1,145,0.0,6,1,115.0,20,1,167,2,2,2,2,4,44,2,130250
5,1,1150,1,1150,2,1959,1150,179,2,0,0,6,2,2,2,1,1959,300,0,1,7945,3,12,1,0,0.0,6,1,70.0,20,1,465,1,1,1,1,1,45,2,141000
9,2,1752,2,1752,3,2005,1752,456,3,0,1,6,3,1,1,1,2005,576,0,1,7658,2,11,1,196,412.0,5,1,61.0,120,4,1296,1,1,1,2,1,46,2,319900
7,2,2149,1,1518,3,2003,1434,1351,1,631,1,6,1,1,1,1,2003,670,1,1,12822,1,5,1,168,0.0,5,1,48.0,50,1,83,2,1,1,1,1,47,2,239686
8,3,1656,2,1656,1,2006,1656,24,1,0,0,7,1,1,1,1,2006,826,0,0,11096,3,6,4,0,0.0,5,1,84.0,20,1,1632,1,1,1,1,4,48,2,249700
4,0,1452,2,736,2,2008,736,0,2,716,0,8,2,3,3,1,1920,0,0,0,4456,2,8,2,0,0.0,5,1,33.0,190,2,736,1,1,1,1,1,49,2,113000
5,1,955,1,955,2,1966,955,763,2,0,0,6,2,2,5,1,1966,386,0,1,7742,3,10,1,0,0.0,7,1,66.0,20,1,192,1,1,2,1,1,50,2,127000
6,2,1470,2,794,1,1997,794,182,2,676,0,6,2,1,1,1,1997,388,0,0,13869,3,18,1,0,0.0,6,1,66.0,60,1,612,3,1,3,1,4,51,2,177000
6,2,1176,1,816,2,1950,816,0,2,0,1,6,2,1,3,1,1934,528,0,0,6240,3,9,2,112,0.0,6,1,52.0,50,1,816,1,2,2,1,1,52,2,114500
5,2,816,1,816,1,1963,816,104,4,0,0,5,2,2,6,2,1963,516,0,1,8472,2,14,2,106,0.0,5,2,110.0,90,3,0,3,4,2,1,2,53,2,110000
9,3,1842,0,1842,3,1987,1842,1810,1,0,1,5,1,2,1,1,1981,894,1,2,50271,0,2,1,857,0.0,5,1,68.0,20,1,32,2,1,3,1,2,54,2,385000
5,2,1360,1,1360,2,1955,384,384,2,0,1,6,2,2,2,1,1955,572,0,0,7134,3,12,1,0,0.0,5,2,60.0,80,1,0,1,2,2,1,1,55,2,130000
6,2,1425,2,1425,2,1964,1425,490,2,0,1,7,2,2,5,1,1964,576,0,0,10175,3,12,1,0,272.0,5,1,100.0,20,1,935,2,1,1,1,1,56,2,180500
8,2,1739,2,983,1,2000,970,649,1,756,0,7,1,1,1,1,1999,480,1,1,2645,3,6,4,115,456.0,5,1,24.0,160,5,321,1,1,3,1,1,57,2,172500
7,2,1720,2,860,1,2004,860,0,1,860,0,7,1,1,3,1,2004,565,1,0,11645,3,1,1,0,0.0,5,1,89.0,60,1,860,2,1,1,1,1,58,2,196500
10,3,2945,3,1426,3,2006,1410,0,3,1519,1,10,1,1,3,1,2006,641,1,0,13682,3,19,1,192,1031.0,5,1,66.0,60,1,1410,3,3,3,2,2,59,2,438780
5,1,780,1,780,2,1972,780,632,2,0,0,4,2,2,2,1,1972,352,0,0,7200,2,1,1,196,0.0,7,1,60.0,20,1,148,1,2,2,1,4,60,2,124900
6,2,1158,1,1158,1,2004,1158,941,2,0,0,5,1,1,2,1,2004,576,1,1,13072,3,13,1,0,0.0,5,1,63.0,20,1,217,1,2,2,1,1,61,2,158000
5,1,1111,1,581,2,1996,530,0,2,530,0,6,4,3,3,2,1920,288,0,0,7200,3,14,2,0,0.0,7,1,60.0,75,1,530,1,2,2,1,1,62,2,101000
8,2,1370,2,1370,1,2006,1370,24,1,0,1,6,1,1,1,1,2006,484,0,0,6442,2,11,1,120,178.0,5,1,44.0,120,4,1346,2,1,1,1,3,63,2,202500
7,2,1710,2,902,2,1950,576,0,2,808,0,9,2,3,3,1,1921,480,0,0,10300,3,8,2,12,0.0,6,1,50.0,70,1,576,2,2,2,1,1,64,4,140000
7,2,2034,2,1057,1,1998,1057,739,2,977,0,8,1,1,1,1,1997,645,1,1,9375,3,1,1,576,573.0,5,1,50.0,60,1,318,1,1,1,1,1,65,4,219500
8,3,2473,2,1143,3,2005,1143,0,1,1330,1,9,1,1,3,1,2004,852,1,0,9591,4,11,1,192,344.0,5,1,76.0,60,1,1143,1,3,1,1,4,66,4,317000
7,2,2207,2,2207,1,1989,1947,912,2,0,1,7,2,2,1,1,1970,576,0,1,19900,3,12,1,301,287.0,5,1,76.0,20,1,1035,1,1,1,1,2,67,4,180000
7,2,1479,2,1479,1,2003,1453,1013,1,0,0,7,1,1,1,1,2003,558,0,1,10665,3,1,1,144,167.0,5,1,72.0,20,1,440,2,1,1,1,4,68,4,226000
4,1,747,1,747,2,1950,747,0,2,0,0,4,2,2,3,1,1945,220,0,0,4608,2,8,2,0,0.0,6,1,47.0,30,1,747,1,1,2,1,1,69,4,80000
7,2,2287,2,1304,2,1953,1304,603,1,983,1,7,2,2,5,1,1953,667,0,0,15593,3,20,1,0,0.0,4,1,81.0,50,1,701,1,1,3,1,1,70,4,225000
7,2,2223,2,2223,1,1973,2223,1880,2,0,2,8,2,2,2,1,1973,516,0,1,13651,3,12,1,300,1115.0,6,1,95.0,20,1,343,2,1,3,1,2,71,4,244000
4,2,845,1,845,2,2006,845,565,2,0,0,4,2,2,2,1,1982,360,0,1,7599,2,5,1,0,0.0,6,1,69.0,20,1,280,1,2,2,1,1,72,4,129500
7,2,1718,2,885,1,1998,832,0,2,833,1,7,2,1,3,1,1998,427,1,0,10141,3,18,1,0,40.0,5,1,74.0,60,1,832,2,1,3,1,1,73,4,185000
5,2,1086,1,1086,2,2003,1086,320,2,0,0,6,2,2,2,1,1954,490,0,1,10200,3,12,1,0,104.0,7,1,85.0,20,1,404,1,1,2,1,1,74,3,144900
3,1,1605,2,840,4,1950,840,0,1,765,0,8,2,2,3,2,1915,379,0,0,5790,3,8,2,0,0.0,6,1,60.0,50,1,840,1,2,2,3,1,75,3,107400
4,1,988,1,526,1,1973,462,462,2,462,0,5,2,2,1,1,1973,297,0,1,1596,2,15,2,120,0.0,5,1,21.0,180,5,0,1,3,2,1,2,76,3,91000
4,1,952,1,952,2,1956,952,228,2,0,0,4,2,2,2,1,1956,283,0,0,8475,2,12,1,0,0.0,7,1,21.0,20,1,724,2,2,2,1,1,77,3,135750
5,1,1285,1,1072,2,2001,672,336,2,213,0,6,2,2,5,1,1948,240,0,1,8635,2,9,2,0,0.0,5,1,50.0,50,1,295,1,2,2,1,1,78,2,127000
4,0,1768,2,1768,2,1968,1768,0,2,0,0,8,2,2,3,2,1968,0,0,0,10778,4,10,1,0,0.0,5,1,72.0,90,3,1768,1,2,2,2,1,79,2,136500
5,2,1230,1,682,2,1981,440,0,2,548,0,5,2,1,3,1,1910,440,1,0,10440,2,8,2,74,0.0,6,1,60.0,50,1,440,1,2,2,1,1,80,2,110000
6,1,2142,2,1182,1,1968,896,448,2,960,1,8,1,2,4,1,1968,509,1,0,13000,4,12,1,0,576.0,6,1,100.0,60,1,448,1,1,3,1,1,81,2,193500
6,2,1337,2,1337,3,1998,1237,1201,2,0,0,5,2,1,1,1,1998,405,0,1,4500,2,5,2,0,443.0,5,1,32.0,120,4,36,1,1,3,2,1,82,2,153500
8,3,1563,2,1563,1,2007,1563,33,2,0,1,6,1,1,1,1,2007,758,0,0,10206,3,6,1,144,468.0,5,1,78.0,20,1,1530,1,1,1,1,1,83,2,245000
5,2,1065,1,1065,2,1960,1065,0,2,0,0,6,2,2,3,1,1960,461,1,0,8892,3,12,1,74,66.0,5,1,80.0,20,1,1065,2,2,2,1,1,84,2,126500
7,2,1474,2,804,1,1996,384,0,2,670,1,7,2,1,3,1,1995,400,1,0,8530,3,18,1,120,22.0,5,1,80.0,80,1,384,2,3,3,1,1,85,2,168500
8,2,2417,2,1301,1,1992,1288,0,1,1116,1,9,1,2,3,1,1991,462,1,0,16059,4,4,1,127,284.0,5,1,121.0,60,1,1288,1,1,2,2,1,86,2,260000
6,2,1560,2,684,1,2005,684,0,1,876,1,6,1,1,3,1,2005,400,1,0,11911,3,18,1,100,0.0,5,1,122.0,60,1,684,3,3,3,1,4,87,2,174000
6,2,1224,2,612,1,2009,612,0,1,612,0,4,1,1,3,1,2009,528,1,0,3951,2,6,4,0,76.0,5,1,40.0,160,4,612,1,2,1,1,4,88,2,164500
3,0,1526,1,1013,2,1982,1013,0,4,0,0,6,4,2,3,2,1915,0,0,0,8470,2,14,3,0,0.0,2,1,105.0,50,1,1013,2,2,1,2,1,89,2,85000
4,0,990,1,990,1,1995,990,588,2,0,0,5,2,1,1,1,1994,0,0,1,8070,3,1,1,0,0.0,5,1,60.0,20,1,402,1,2,1,1,1,90,2,123600
4,2,1040,1,1040,1,1950,0,0,2,0,0,4,2,5,1,1,1950,420,0,0,7200,2,12,1,0,0.0,5,1,60.0,20,1,0,1,2,2,1,1,91,2,109900
5,2,1235,1,1235,2,1961,1235,600,2,0,0,6,2,2,4,1,1961,480,0,0,8500,2,12,1,0,203.0,3,1,85.0,20,1,635,1,1,2,2,1,92,3,98600
5,2,964,1,964,1,2006,876,713,2,0,0,5,2,3,2,1,1921,432,0,1,13360,2,3,1,0,0.0,7,1,80.0,30,1,163,2,2,2,1,1,93,3,163500
6,2,2291,2,1260,2,1998,1214,1046,2,1031,1,9,2,3,4,2,1910,506,0,0,7200,4,8,3,0,0.0,6,1,60.0,190,2,168,1,2,2,2,3,94,3,133900
6,2,1786,2,905,1,1997,824,648,2,881,0,7,1,1,1,1,1997,684,1,1,9337,3,1,1,0,0.0,5,1,69.0,60,1,176,2,1,1,1,1,95,3,204750
6,2,1470,2,680,1,1993,680,310,3,790,1,6,2,1,2,1,1993,420,1,0,9765,3,18,1,232,68.0,8,1,69.0,60,1,370,3,3,3,1,1,96,3,185000
7,2,1588,2,1588,1,1999,1588,1162,1,0,0,6,1,1,2,1,1999,472,0,0,10264,3,1,1,158,183.0,5,1,78.0,20,1,426,2,1,1,1,4,97,3,214000
4,1,960,1,960,2,1965,960,520,2,0,0,6,2,2,4,1,1965,432,0,1,10921,3,16,1,120,48.0,5,1,73.0,20,1,440,1,1,3,2,1,98,3,94750
5,1,835,1,835,2,1950,458,108,2,0,0,5,2,3,2,2,1920,366,0,0,10625,2,16,1,0,0.0,5,1,85.0,30,1,350,1,5,2,1,1,99,3,83000
4,0,1225,1,1225,2,1959,950,569,2,0,0,6,2,2,2,1,1959,0,1,1,9320,3,12,1,352,0.0,5,1,77.0,20,1,381,2,5,2,1,1,100,3,128950
6,2,1610,2,1610,2,2001,1610,1200,2,0,2,6,1,1,2,1,1977,480,0,1,10603,3,7,1,168,28.0,7,1,77.0,20,1,410,2,1,1,1,3,101,3,205000
6,2,1732,2,977,1,1985,741,0,1,755,1,7,1,2,3,1,1985,476,1,0,9206,3,13,1,192,336.0,5,1,77.0,60,1,741,1,1,3,1,1,102,3,178000
5,2,1535,2,1535,1,1979,0,0,2,0,0,8,2,5,3,1,1979,410,0,0,7018,4,13,1,0,0.0,5,1,64.0,90,3,0,1,1,2,1,1,103,3,118964
7,3,1226,2,1226,1,2009,1226,0,2,0,0,6,1,1,3,1,2009,740,0,0,10402,3,1,1,0,0.0,5,1,94.0,20,1,1226,2,1,1,1,1,104,3,198900
7,1,1818,1,1226,2,1950,1040,224,2,592,2,7,2,1,6,1,1931,240,1,0,7758,4,14,2,0,600.0,4,1,94.0,50,1,816,1,2,2,1,1,105,3,169500
8,2,1992,2,1053,3,2004,1053,0,1,939,1,9,1,1,3,1,2003,648,1,0,9375,3,6,4,140,768.0,5,1,75.0,60,1,1053,1,1,1,2,1,106,3,250000
4,1,1047,1,1047,4,1995,641,0,2,0,0,6,2,3,3,1,1885,273,0,0,10800,2,8,2,0,0.0,7,1,60.0,30,1,641,1,2,2,4,1,107,3,100000
5,1,789,1,789,2,1950,789,104,2,0,0,5,2,2,2,1,1948,250,0,0,6000,2,8,2,0,0.0,5,1,50.0,20,1,516,1,2,2,1,1,108,3,115000
5,0,1517,2,997,2,2005,793,0,2,520,0,7,4,2,3,2,1919,0,0,0,8500,3,14,2,0,0.0,7,1,85.0,50,1,793,1,2,2,1,1,109,3,115000
6,2,1844,2,1844,1,1977,1844,705,2,0,1,7,2,2,5,1,1977,546,0,0,11751,3,7,1,0,480.0,6,1,105.0,20,1,1139,2,1,1,2,1,110,2,190000
6,1,1855,2,1216,2,1972,994,444,2,639,0,7,2,2,4,1,1954,325,0,0,9525,4,16,1,182,0.0,4,1,75.0,50,1,550,1,1,2,1,1,111,2,136900
7,2,1430,2,774,1,2000,384,250,2,656,1,7,2,1,1,1,2000,400,1,0,7750,3,18,1,180,0.0,5,1,75.0,80,1,134,2,3,3,1,1,112,2,180000
7,3,2696,2,1282,3,2007,1264,984,1,1414,1,10,3,1,1,1,2007,792,1,1,9965,4,1,1,120,220.0,5,1,77.0,60,1,280,1,3,3,1,4,113,2,383970
6,2,2259,2,2259,1,1953,1809,35,2,0,2,7,1,2,2,1,1953,450,0,1,21000,3,3,1,166,184.0,5,1,77.0,20,1,905,1,5,2,2,3,114,2,217000
6,1,2320,2,1436,2,2002,1028,774,2,884,1,9,1,2,2,1,1945,180,1,1,7259,3,3,1,224,0.0,8,2,61.0,70,1,104,2,2,2,3,1,115,2,259500
6,2,1458,2,729,1,1999,729,419,2,729,1,5,2,1,1,1,1999,440,1,0,3230,2,6,4,0,1129.0,5,1,34.0,160,4,310,1,2,2,1,1,116,2,176000
5,1,1092,1,1092,2,1962,1092,170,2,0,1,6,2,2,6,1,1962,288,0,0,11616,3,10,1,0,116.0,5,1,34.0,20,1,252,1,1,2,1,1,117,2,139000
5,2,1125,1,1125,1,2007,1125,0,2,0,0,5,2,1,3,1,2006,430,1,0,8536,2,16,1,80,0.0,5,1,74.0,20,1,1125,1,1,2,1,1,118,2,155000
7,3,3222,3,1699,1,1990,1673,1470,2,1523,2,11,1,1,1,1,1990,594,0,1,12376,5,13,1,367,0.0,5,1,90.0,60,1,203,1,1,2,2,3,119,2,320000
6,2,1456,2,728,1,2006,728,0,1,728,1,8,1,1,3,1,2005,390,1,0,8461,3,1,1,0,0.0,5,1,65.0,60,1,728,1,1,3,1,1,120,2,163990
6,2,988,1,988,2,1969,938,938,2,0,2,4,2,2,2,1,1969,540,0,1,21453,1,20,1,0,0.0,5,3,65.0,80,1,0,2,1,2,5,2,121,2,180000
4,1,1123,1,772,2,1950,732,0,2,351,0,4,2,1,3,1,1939,264,0,0,6060,3,14,2,0,0.0,5,1,50.0,50,1,732,1,2,2,1,1,122,2,100000
6,1,1080,1,1080,2,1958,1080,570,2,0,0,5,2,2,5,1,1958,288,0,0,9464,3,12,1,0,135.0,7,1,75.0,20,1,510,1,1,2,2,1,123,2,136000
6,2,1199,2,1199,1,1993,1199,300,1,0,0,5,1,1,1,1,1993,530,0,0,7892,2,13,1,0,0.0,5,1,55.0,120,4,899,1,1,1,1,1,124,2,153900
6,2,1586,2,1586,1,1998,1362,0,2,0,1,7,2,2,3,1,1979,435,0,0,17043,3,7,1,192,0.0,5,1,48.0,20,1,1362,2,1,2,1,1,125,2,181000
6,0,754,1,520,2,1982,520,490,2,0,0,5,2,2,1,2,1935,0,0,1,6780,2,14,2,53,0.0,8,1,60.0,190,2,30,1,1,2,1,4,126,2,84500
6,2,958,2,958,1,1976,1078,120,2,0,1,5,2,2,2,1,1976,440,0,0,4928,2,21,1,0,0.0,5,1,60.0,120,4,958,2,1,1,1,1,127,2,128000
5,0,840,1,840,2,1950,672,116,2,0,1,5,2,3,6,1,1930,0,0,0,4388,3,8,2,0,0.0,7,1,55.0,45,1,556,2,1,1,1,1,128,2,87000
6,2,1348,1,660,2,1966,660,512,2,688,1,6,2,2,5,1,1966,453,1,0,7590,3,12,1,188,266.0,5,1,69.0,60,1,148,1,1,1,1,1,129,2,155000
5,2,1053,1,1053,2,1991,1008,567,2,0,0,6,3,2,4,1,1958,750,1,0,8973,3,12,1,0,85.0,7,1,69.0,20,1,413,1,6,1,1,1,130,5,150000
7,2,2157,2,1216,2,1966,924,445,2,941,2,8,1,2,4,1,1966,487,1,0,14200,4,12,1,105,309.0,6,1,88.0,60,1,479,1,1,3,1,1,131,4,226000
6,2,2054,2,1022,1,2000,992,695,1,1032,1,7,1,1,1,1,2000,390,1,1,12224,3,18,1,24,40.0,5,1,88.0,60,1,297,2,3,1,1,1,132,4,244000
5,2,1327,1,1327,2,2002,1063,405,2,0,0,7,1,2,4,1,1959,624,0,1,7388,3,12,1,0,0.0,6,1,75.0,20,1,658,1,2,2,1,1,133,4,150750
8,2,1296,2,1296,3,2002,1267,1005,1,0,0,6,1,1,1,1,2001,471,0,1,6853,2,17,1,192,136.0,5,1,75.0,20,1,262,2,1,3,1,1,134,4,220000
5,2,1721,2,1721,2,1993,1461,570,2,0,1,7,2,2,4,1,1968,440,1,0,10335,3,10,1,0,0.0,6,1,78.0,20,1,891,2,1,1,1,1,135,2,180000
7,2,1682,2,1682,2,1970,1304,0,2,0,1,7,2,1,3,1,1970,530,0,0,10400,3,7,1,98,288.0,6,1,80.0,20,1,1304,1,1,2,2,1,136,2,174000
5,1,1214,2,1214,2,1967,1214,695,2,0,1,5,2,2,5,1,1967,318,0,0,10355,3,12,1,0,196.0,5,1,80.0,20,1,519,2,1,1,1,1,137,2,143000
7,3,1959,3,1959,2,1989,1907,0,2,0,0,9,2,2,3,1,1988,766,0,0,11070,5,5,1,0,70.0,5,1,82.0,90,3,1907,1,6,2,1,1,138,2,171000
8,3,1852,2,1004,1,2000,1004,668,1,848,2,7,1,1,1,1,1999,660,1,0,9066,3,1,1,224,320.0,5,1,73.0,60,1,336,2,1,3,1,3,139,4,230000
6,2,1764,2,928,1,1997,928,821,2,836,0,7,1,1,1,1,1997,470,1,1,15426,3,1,1,276,0.0,5,1,65.0,60,1,107,2,1,1,1,1,140,2,231500
4,0,864,1,864,2,1971,864,432,2,0,1,5,2,2,2,1,1971,0,0,0,10500,3,12,1,0,0.0,5,1,70.0,20,1,432,1,1,1,1,1,141,2,115000
7,2,1734,2,1734,1,2005,1734,1300,1,0,0,7,1,1,1,1,2005,660,0,1,11645,3,1,1,160,0.0,5,1,78.0,20,1,434,1,1,3,1,4,142,2,260000
5,2,1385,2,910,2,1952,910,507,2,475,0,6,2,2,4,1,1952,720,0,0,8520,4,12,1,0,0.0,4,1,71.0,50,1,403,1,2,2,1,1,143,2,166000
7,2,1501,2,1501,1,1999,1490,679,1,0,0,6,1,1,1,1,1999,577,0,1,10335,3,1,1,144,183.0,5,1,78.0,20,1,811,2,1,1,1,2,144,2,204000
5,2,1728,2,1728,2,1963,1728,1332,2,0,0,10,2,2,4,1,1963,504,0,1,9100,6,10,2,0,336.0,5,1,70.0,90,3,396,1,2,2,1,1,145,2,125000
